Title,Note,URL
Wheelhouse Coffee,best outlets on campus,https://www.google.com/maps/place/Wheelhouse+Coffee/data=!4m2!3m1!1s0x883889c2a41e77f1:0x5b1d9e0a6c24f318
Cricket & Crow,,https://www.google.com/maps/place/Cricket+%26+Crow/data=!4m2!3m1!1s0x883889d10f3b62a4:0x9e77c40d81b52f06
Terrazzo,study spot with mel,https://www.google.com/maps/place/Terrazzo/data=!4m2!3m1!1s0x88388f4be2017c93:0x2ac60fd94b118e75
Night Owl Coffee,open late!!,https://www.google.com/maps/place/Night+Owl+Coffee/data=!4m2!3m1!1s0x883889b7d5e04c22:0x77aa03c1592dd4b9
Hackberry Roasters,,https://www.google.com/maps/place/Hackberry+Roasters/data=!4m2!3m1!1s0x883889e83a55f107:0x14c8b02de6a97f43
Oval Grounds,between classes,https://www.google.com/maps/place/Oval+Grounds/data=!4m2!3m1!1s0x883889cd7b90e561:0xd30e155a8f26c791
Marginalia,"quiet, bring a book",https://www.google.com/maps/place/Marginalia/data=!4m2!3m1!1s0x88388a02c6d84b39:0x81f5da4470b3c2ae
The All-Nighter,finals week hq,https://www.google.com/maps/place/The+All-Nighter/data=!4m2!3m1!1s0x883889f95c31ab84:0x3fd2c07e9a51b460
Batch & Crumb Bakery,rhubarb galette,https://www.google.com/maps/place/Batch+%26+Crumb+Bakery/data=!4m2!3m1!1s0x88388a1e40c7f253:0xa6890b34d1c25e77
The Copper Finch Cafe,,https://www.google.com/maps/place/The+Copper+Finch+Cafe/data=!4m2!3m1!1s0x883889ab6e12d940:0xc45f1180b7e293da
Iuka Ridge Branch Library,free printing,https://www.google.com/maps/place/Iuka+Ridge+Branch+Library/data=!4m2!3m1!1s0x88388a37b804e6c5:0x58e6d21fa3407c9b
